created_at,tweet,sentiment
2019-05-25 21:37:32,b'\xf0\x9f\x92\xbb #Bitcoin $8085 vs \xf0\x9f\xa6\x8d #AAPL $180.2\n\n         +2.5% \xf0\x9f\x9a\x80  1 week    \xf0\x9f\x94\xbb -3.6% \n    +103.2% \xf0\x9f\x9a\x80  YTD        \xf0\x9f\x9a\x80 +13.7%\xe2\x80\xa6 https://t.co/EBaSkDotrg',0.0
2019-05-25 19:46:40,b'@alphatrends Compare buying #aapl at 232$ vs 142$ in last 1 year. Or buying #tsla at 379$ vs 190$. Buying super hig\xe2\x80\xa6 https://t.co/b2xYe8j6iV',0.16666666666666666
2019-05-25 18:22:30,b'$SPY - Daily Charts - Candle Glance View\n\n$AMZN $AAPL $BABA $BAC $CELG $FB\n$GOOG $IBB $IWM $JPM $MSFT $NFLX\n$BA\xe2\x80\xa6 https://t.co/gbPbX9wsIZ',0.0
2019-05-25 17:20:01,b'FREE CONTENT--&gt; A terminology guide filled with definitions and terms that all investors need to know. Enjoy!\xe2\x80\xa6 https://t.co/cPLvAj11Su',0.4
2019-05-25 16:51:00,b'$AAPL Support and Resistance (Pivots) for Mon 5/27/19:\n\n$FB $AMZN $AAPL\n$GOOG $TSLA $C\n$BAC $CELG $IBB\n$MSFT $NFLX\xe2\x80\xa6 https://t.co/fmADghIhg4',0.0
2019-05-25 15:02:45,b'#TESLA #TSLA\n2 many great competitors now\nOverpriced #Ev \nParts very expensive \nMaintenance - Watchout.. \njust like\xe2\x80\xa6 https://t.co/GZFA7yjpVm',0.21666666666666667
2019-05-25 13:06:11,"b'Memorial Day Deals: Save on Apple Devices and Accessories from Twelve South, Mophie, Best Buy, and More https://t.co/EIPMsfYmki #AAPL'",0.75
2019-05-25 12:31:22,"b'WWDC 19 \nWrite code. Blow minds.\n@apple Worldwide Developers Conference\n\xf0\x9f\x93\x8dSan Jose, CA, \xf0\x9f\x97\x93 June 3\xe2\x80\x937\n\n__\n#aapl #apple\xe2\x80\xa6 https://t.co/JLh4pxyaeJ'",0.0
2019-05-25 10:57:23,b'$es_f - this weekend may be time to create a list of fav stocks &amp; some levels to enter for swing - if market contin\xe2\x80\xa6 https://t.co/xesWiOsMqS',0.0
2019-05-25 06:50:00,b'Very interesting... #AAPL #bull #StockMarket #stockstowatch #trading https://t.co/y0GIPZqdEq',0.65
2019-05-25 03:46:00,b'\xf0\x9f\x92\xbb #Bitcoin $8038 vs \xf0\x9f\xa6\x8d #AAPL $180.2\n\n        +1.9% \xf0\x9f\x9a\x80  1 week    \xf0\x9f\x94\xbb -3.6% \n       +102% \xf0\x9f\x9a\x80  YTD        \xf0\x9f\x9a\x80 +13.7%\xe2\x80\xa6 https://t.co/qkAbhJrO1T',0.0
2019-05-25 02:45:06,b'Apple: When And If China Bans iPhones - Seeking Alpha https://t.co/0fRuuwwEqn #AAPL #KwanChenMa #BilalHashmi https://t.co/5hIOPbnmpn',0.0
2019-05-24 23:46:24,"b""Apple Confirms ECG Functionality is Coming to Canada 'as quickly as Possible' https://t.co/An10R4mN2z #AAPL""",0.0
2019-05-24 23:36:17,"b""Angela Ahrendts on Apple Retail Criticism: 'I Don't Read Any of it, and None of it is Based on Fact' https://t.co/rg1LyhXky9 #AAPL""",0.0
2019-05-24 22:26:21,b'iPhone XS Max vs. OnePlus 7 Pro https://t.co/Vnh2A9erSu #AAPL',0.0
2019-05-24 21:40:43,b'@bdb822 @carlquintanilla @Tesla Similar to #aapl makes iPhones &amp; software for it to work. @tsla makes EV with inbui\xe2\x80\xa6 https://t.co/tAFXdVZ5cd',0.0
2019-05-24 21:03:19,"b'Apple Inc price at close, 2019-05-24, is 179.38. #apple #AAPL'",0.0
2019-05-24 20:41:36,"b'Apple Acquired Tueo Health, a Startup Developing an Asthma Monitoring App https://t.co/BB7IgIglvp #AAPL'",0.0
2019-05-24 20:15:33,"b""$AAPL closes within previous day's range after lackluster session: https://t.co/GXxUwEuceP\nSentiment: Neutral #AAPL #Apple""",-0.16666666666666666
2019-05-24 18:44:37,b'1 hour charts for all 78 instruments are available for members viewing https://t.co/x2kmaKA6Ui #ElliottWave #Forex\xe2\x80\xa6 https://t.co/UDB8ymuXNZ',0.4
2019-05-24 18:11:09,"b""MacRumors Giveaway: Win a Mac, iPhone, or iPod Plush From Throwboy's Iconic Pillow Collection https://t.co/1jJ5gdzzv1 #AAPL""",0.65
2019-05-24 18:11:04,b'https://t.co/WjA9Ycul2c &gt; Get regular updates on various #Stocks #ETFs and #Bitcoin with 50% off in Memorial Day pr\xe2\x80\xa6 https://t.co/lVtpNZEPH4',0.0
